"Config","OCR_module","Filename","OCR_Time"
"18","KerasOCR","example6",12.87162733078
"18","EasyOCR","example6",2.32723999023438
"18","PaddleOCR","example6",5.20471906661987
"18","docTR","example6",5.63289570808411
"203","TesseractOCR","example31",1.18246054649353
"203","KerasOCR","example31",16.9007411003113
"203","EasyOCR","example31",2.40823578834534
"203","PaddleOCR","example31",4.72942018508911
"203","docTR","example31",6.59507083892822
"245","TesseractOCR","example21",2.14875745773315
"245","KerasOCR","example21",16.0189292430878
"245","EasyOCR","example21",2.40633821487427
"245","PaddleOCR","example21",4.55497455596924
"245","docTR","example21",4.91406536102295
"240","TesseractOCR","example23",0.166326284408569
"240","KerasOCR","example23",1.88400554656982
"240","EasyOCR","example23",2.85749745368958
"240","PaddleOCR","example23",1.58698439598083
"240","docTR","example23",3.0220799446106
"256","TesseractOCR","example29",0.763170003890991
"256","KerasOCR","example29",3.90234446525574
"256","EasyOCR","example29",2.37358832359314
"256","PaddleOCR","example29",4.25332498550415
"256","docTR","example29",6.34661507606506
"252","TesseractOCR","example18",0.742772340774536
"252","KerasOCR","example18",17.5496175289154
"252","EasyOCR","example18",2.46265959739685
"252","PaddleOCR","example18",2.97017955780029
"252","docTR","example18",4.86181974411011
"290","TesseractOCR","example19",0.647934675216675
"290","KerasOCR","example19",13.4499487876892
"290","EasyOCR","example19",3.03610610961914
"290","PaddleOCR","example19",3.34358096122742
"290","docTR","example19",4.95476269721985
"163","TesseractOCR","example18",0.628771066665649
"163","KerasOCR","example18",15.1004915237427
"163","EasyOCR","example18",2.44879651069641
"163","PaddleOCR","example18",2.71175289154053
"163","docTR","example18",4.16661095619202
"23","TesseractOCR","example19",1.50814914703369
"23","KerasOCR","example19",6.34685206413269
"23","EasyOCR","example19",2.43015098571777
"23","PaddleOCR","example19",3.39984631538391
"23","docTR","example19",4.76258444786072
"114","TesseractOCR","example15",0.202588319778442
"114","KerasOCR","example15",1.92068576812744
"114","EasyOCR","example15",2.50118708610535
"114","PaddleOCR","example15",1.27190041542053
"114","docTR","example15",2.49310350418091
"134","TesseractOCR","example23",0.536952018737793
"134","KerasOCR","example23",3.73558306694031
"134","EasyOCR","example23",2.30287504196167
"134","PaddleOCR","example23",3.59509968757629
"134","docTR","example23",4.3428795337677
"337","TesseractOCR","example27",0.239599704742432
"337","KerasOCR","example27",13.4004783630371
"337","EasyOCR","example27",2.16645789146423
"337","PaddleOCR","example27",1.0872700214386
"337","docTR","example27",3.39442133903503
"296","TesseractOCR","example12",0.220134735107422
"296","KerasOCR","example12",2.2753221988678
"296","EasyOCR","example12",2.24079036712646
"296","PaddleOCR","example12",0.96302342414856
"296","docTR","example12",2.72939658164978
"91","TesseractOCR","example1",0.452062129974365
"91","KerasOCR","example1",3.74860215187073
"91","EasyOCR","example1",2.34521102905273
"91","PaddleOCR","example1",3.66880321502686
"91","docTR","example1",4.64651656150818
"183","TesseractOCR","example9",1.47834944725037
"183","KerasOCR","example9",4.6118905544281
"183","EasyOCR","example9",2.2776460647583
"183","PaddleOCR","example9",4.14229035377502
"183","docTR","example9",4.34909605979919
